"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 11:15:21 GMT 2025","Tue Mar 25 11:15:21 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersInvalidDays","Тест получения неактивных пользователей неверная дата",""
"passed","Tue Mar 25 11:15:21 GMT 2025","Tue Mar 25 11:15:21 GMT 2025","11","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityInvalidMonth","Тест получения статистики за месяц некорректный month",""
"passed","Tue Mar 25 11:15:21 GMT 2025","Tue Mar 25 11:15:21 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityNoId","Тест получения статистики за месяц без id",""
"passed","Tue Mar 25 11:15:21 GMT 2025","Tue Mar 25 11:15:21 GMT 2025","24","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","Тест получения статистики за месяц",""
"passed","Tue Mar 25 11:15:18 GMT 2025","Tue Mar 25 11:15:20 GMT 2025","1877","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Tue Mar 25 11:15:20 GMT 2025","Tue Mar 25 11:15:20 GMT 2025","24","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistrationNoName","Тест регистрации пользователя без имени",""
"passed","Tue Mar 25 11:15:20 GMT 2025","Tue Mar 25 11:15:20 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityNoSessions","Тест получения общего времени активности без записей",""
"passed","Tue Mar 25 11:15:21 GMT 2025","Tue Mar 25 11:15:21 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityNoMonth","Тест получения статистики за месяц без month",""
"passed","Tue Mar 25 11:15:20 GMT 2025","Tue Mar 25 11:15:20 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionInvalidTime","Тест записи сессии с некорректным временем",""
"passed","Tue Mar 25 11:15:20 GMT 2025","Tue Mar 25 11:15:20 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityUserNotExist","Тест получения общего времени активности с несуществующим пользователем",""
